City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Goundam,ML,16.4145,-3.6708,91.92,39,3,10.31,clear sky
80,Santa Maria,BR,-29.6842,-53.8069,52.9,87,0,2.3,clear sky
81,Iqaluit,CA,63.7506,-68.5145,53.33,76,90,3.0,overcast clouds
82,Komsomolskiy,UZ,40.4272,71.7189,78.22,27,100,2.73,overcast clouds
83,Shache,CN,38.4167,77.2406,74.05,42,100,11.59,overcast clouds
84,Bambous Virieux,MU,-20.3428,57.7575,67.21,94,75,8.05,light intensity shower rain
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,66.76,66,92,8.23,overcast clouds
86,Dunedin,NZ,-45.8742,170.5036,49.8,78,98,17.0,overcast clouds
87,Baihar,IN,22.1,80.55,70.99,92,100,8.25,overcast clouds
88,Dingle,PH,10.9995,122.6711,77.95,87,100,8.9,overcast clouds
89,Hovd,MN,48.0056,91.6419,53.94,64,4,2.26,clear sky
90,Santa Fe,AR,-31.6333,-60.7,61.02,45,0,1.01,clear sky
91,Siilinjarvi,FI,63.0833,27.6667,60.82,88,20,5.75,few clouds
92,De-Kastri,RU,51.4667,140.7833,58.08,84,96,1.54,overcast clouds
93,Launceston,AU,-41.45,147.1667,40.15,97,90,9.22,overcast clouds
94,Ouesso,CG,1.6136,16.0517,72.7,91,97,2.55,overcast clouds
95,Vestmannaeyjar,IS,63.4427,-20.2734,54.12,91,94,8.34,overcast clouds
96,Nanyamba,TZ,-10.6833,39.8333,64.08,94,61,4.47,broken clouds
97,New Norfolk,AU,-42.7826,147.0587,38.7,84,20,2.46,few clouds
98,Dong Hoi,VN,17.4833,106.6,83.34,71,100,10.42,overcast clouds
99,San Diego De Los Banos,CU,22.6467,-83.3697,87.44,63,61,4.21,light rain
100,Znamenskoye,RU,57.1281,73.8282,60.51,99,84,4.88,broken clouds
101,Cairns,AU,-16.9167,145.7667,71.55,88,60,6.91,broken clouds
102,Sitka,US,57.0531,-135.33,64.29,72,75,5.75,broken clouds
103,Saint-Augustin,CA,51.226,-58.6502,62.89,71,88,18.16,overcast clouds
104,Omboue,GA,-1.5746,9.2618,75.22,81,99,9.55,overcast clouds
105,Cape Town,ZA,-33.9258,18.4232,57.11,83,20,1.14,few clouds
106,Clyde River,CA,70.4692,-68.5914,44.83,81,75,18.41,broken clouds
107,Sharjah,AE,25.3573,55.4033,92.25,49,0,4.61,clear sky
108,Kavieng,PG,-2.5744,150.7967,82.71,75,3,9.24,clear sky
109,Kruisfontein,ZA,-34.0033,24.7314,56.88,77,86,17.05,overcast clouds
110,Magadan,RU,59.5667,150.8,53.01,53,2,19.75,clear sky
111,Chulym,RU,55.0997,80.9572,57.45,92,43,4.54,scattered clouds
112,Banda Aceh,ID,5.5577,95.3222,79.74,73,99,15.48,overcast clouds
113,Qeshm,IR,26.9581,56.2719,93.07,75,29,6.8,scattered clouds
114,Kodiak,US,57.79,-152.4072,60.31,77,75,6.91,broken clouds
115,Luderitz,NA,-26.6481,15.1594,65.52,37,0,5.95,clear sky
116,Manresa,ES,41.725,1.8266,71.67,68,97,3.0,overcast clouds
117,Emba,KZ,48.8264,58.1442,80.2,35,12,9.37,few clouds
118,Fortuna,US,40.5982,-124.1573,85.42,68,40,3.0,scattered clouds
119,Weligama,LK,5.9667,80.4167,77.99,87,100,9.42,overcast clouds
120,Puerto Escondido,MX,15.85,-97.0667,92.23,55,75,4.61,broken clouds
121,Berlin,DE,52.5244,13.4105,62.98,89,0,8.01,clear sky
122,Kudat,MY,6.8837,116.8477,76.93,94,20,4.61,few clouds
123,Belyy Yar,RU,53.6039,91.3903,53.49,94,0,4.47,clear sky
124,Chuy,UY,-33.6971,-53.4616,49.62,93,23,5.77,few clouds
125,Ruidoso,US,33.3317,-105.673,75.96,80,75,10.36,light rain
126,Ribeira Grande,PT,38.5167,-28.7,73.29,94,59,14.67,broken clouds
127,Sinnamary,GF,5.3833,-52.95,79.56,80,54,7.96,broken clouds
128,Leningradskiy,RU,69.3833,178.4167,35.35,94,100,18.5,light rain
129,Sobolevo,RU,54.4299,31.8996,65.39,76,100,5.17,light rain
130,Shimoda,JP,34.6667,138.95,86.11,74,3,1.97,clear sky
131,Ponta Do Sol,PT,32.6667,-17.1,72.23,69,1,7.31,clear sky
132,Marzuq,YE,14.4,46.4667,81.64,52,97,6.89,overcast clouds
133,Bridgetown,BB,13.1,-59.6167,82.89,74,20,11.5,few clouds
134,Campoverde,PE,-8.4753,-74.8058,83.89,49,33,1.7,scattered clouds
135,Bara,NG,10.3744,10.7288,73.36,95,100,1.92,moderate rain
136,Waddan,LY,29.1614,16.139,86.76,23,0,13.0,clear sky
137,Hasaki,JP,35.7333,140.8333,82.62,84,13,6.29,few clouds
138,Itamarandiba,BR,-17.8572,-42.8589,53.69,75,13,3.8,few clouds
139,Marsh Harbour,BS,26.5412,-77.0636,85.01,71,68,9.91,broken clouds
140,Half Moon Bay,US,37.4636,-122.4286,88.92,62,20,1.01,few clouds
141,Kokopo,PG,-4.352,152.2633,79.03,84,7,10.42,clear sky
142,Bengkulu,ID,-3.8004,102.2655,73.87,89,97,4.21,overcast clouds
143,Agadir,MA,30.4202,-9.5982,66.65,72,0,5.77,clear sky
144,Butaritari,KI,3.0707,172.7902,83.17,69,10,10.38,clear sky
145,Silver City,US,32.7701,-108.2803,78.76,62,1,4.61,light rain
146,Alofi,NU,-19.0595,-169.9187,80.49,61,60,19.57,broken clouds
147,Goulburn,AU,-34.75,149.7167,32.65,89,0,2.62,clear sky
148,East London,ZA,-33.0153,27.9116,62.8,60,29,19.93,scattered clouds
149,Mar Del Plata,AR,-38.0023,-57.5575,46.09,31,90,3.0,mist
150,Betong,TH,5.7743,101.0723,70.86,99,94,1.81,overcast clouds
151,Tynne,UA,50.6015,26.1849,63.75,76,70,10.2,broken clouds
